Date;Energie journalière (MWh)
28/05/2023;872066
29/05/2023;910238
30/05/2023;1029805
31/05/2023;1049815
01/06/2023;1041898
02/06/2023;1027431
03/06/2023;918424
04/06/2023;867827
05/06/2023;1008128
06/06/2023;1026875
07/06/2023;1036995
08/06/2023;1046234
09/06/2023;1041088
10/06/2023;934591
11/06/2023;891156
12/06/2023;1029225
13/06/2023;1046394
14/06/2023;1052894
15/06/2023;1057638
16/06/2023;1051980
17/06/2023;947648
18/06/2023;892761
19/06/2023;1031308
20/06/2023;1056896
21/06/2023;1065498
22/06/2023;1060067
23/06/2023;1045675
24/06/2023;944428
25/06/2023;907255
26/06/2023;1045800
27/06/2023;1057157
28/06/2023;1065712
29/06/2023;1075664
30/06/2023;1034300
01/07/2023;929466
02/07/2023;891067
03/07/2023;1036560
04/07/2023;1068333
05/07/2023;1073448
06/07/2023;1086265
07/07/2023;1090334
08/07/2023;996650
09/07/2023;944823
10/07/2023;1102767
11/07/2023;1137646
12/07/2023;1110050
13/07/2023;1087284
14/07/2023;964157
15/07/2023;957683
16/07/2023;918791
17/07/2023;1071724
18/07/2023;1116029
19/07/2023;1111657
20/07/2023;1105175
21/07/2023;1078336
22/07/2023;959235
23/07/2023;915127
24/07/2023;1038995
25/07/2023;1039608
26/07/2023;1039332
27/07/2023;1044416
28/07/2023;1033419
29/07/2023;932554
30/07/2023;879756
31/07/2023;971342
01/08/2023;999900
02/08/2023;1015654
03/08/2023;997089
04/08/2023;962425
05/08/2023;892297
06/08/2023;859880
07/08/2023;939447
08/08/2023;957088
09/08/2023;963736
10/08/2023;976683
11/08/2023;987240
12/08/2023;916491
13/08/2023;871776
14/08/2023;933985
15/08/2023;898744
16/08/2023;974120
17/08/2023;1003391
18/08/2023;1019534
19/08/2023;961208
20/08/2023;923939
21/08/2023;1060484
22/08/2023;1106706
23/08/2023;1125070
24/08/2023;1124314
25/08/2023;1072232
26/08/2023;945286
27/08/2023;882591
28/08/2023;1006164
29/08/2023;1032635
30/08/2023;1039336
31/08/2023;1051653
01/09/2023;1050031
02/09/2023;951230
03/09/2023;915183
04/09/2023;1064854
05/09/2023;1102818
06/09/2023;1109061
07/09/2023;1111574
08/09/2023;1113675
09/09/2023;975905
10/09/2023;975011
11/09/2023;1076655
12/09/2023;1070938
13/09/2023;1071887
14/09/2023;1070179
15/09/2023;1060791
16/09/2023;961283
17/09/2023;923579
18/09/2023;1051641
19/09/2023;1061849
20/09/2023;1068592
21/09/2023;1064315
22/09/2023;1043591
23/09/2023;934945
24/09/2023;899244
25/09/2023;1032837
26/09/2023;1048800
27/09/2023;1058198
28/09/2023;1061433
29/09/2023;1051910
30/09/2023;942859
01/10/2023;903430
02/10/2023;1049755
03/10/2023;1093621
04/10/2023;1043722
05/10/2023;1064370
06/10/2023;1059788
07/10/2023;948895
08/10/2023;901628
09/10/2023;1034960
10/10/2023;1059791
11/10/2023;1064336
12/10/2023;1062253
13/10/2023;1050831
14/10/2023;944674
15/10/2023;920107
16/10/2023;1092116
17/10/2023;1135100
18/10/2023;1140599
19/10/2023;1113394
20/10/2023;1098520
21/10/2023;1006650
22/10/2023;964382
23/10/2023;1133739
24/10/2023;1142015
25/10/2023;1156997
26/10/2023;1159595
27/10/2023;1155142
28/10/2023;1060149
29/10/2023;1005701
30/10/2023;1151752
31/10/2023;1164807
01/11/2023;1077506
02/11/2023;1189382
03/11/2023;1254706
04/11/2023;1172030
05/11/2023;1104186
06/11/2023;1269030
07/11/2023;1313348
08/11/2023;1352849
09/11/2023;1341153
10/11/2023;1367988
11/11/2023;1217431
12/11/2023;1173392
13/11/2023;1250117
14/11/2023;1255398
15/11/2023;1262154
16/11/2023;1320864
17/11/2023;1310617
18/11/2023;1206021
19/11/2023;1107137
20/11/2023;1291104
21/11/2023;1315575
22/11/2023;1364056
23/11/2023;1417543
24/11/2023;1385475
25/11/2023;1360351
26/11/2023;1389800
27/11/2023;1532541
28/11/2023;1516466
29/11/2023;1568687
30/11/2023;1540745
01/12/2023;1542005
02/12/2023;1547724
03/12/2023;1555898
04/12/2023;1631226
05/12/2023;1580371
06/12/2023;1605625
07/12/2023;1654866
08/12/2023;1520013
09/12/2023;1387206
10/12/2023;1292314
11/12/2023;1366942
12/12/2023;1366324
13/12/2023;1414996
14/12/2023;1477055
15/12/2023;1453806
16/12/2023;1389859
17/12/2023;1439839
18/12/2023;1620246
19/12/2023;1610580
20/12/2023;1534919
21/12/2023;1473861
22/12/2023;1378740
23/12/2023;1259713
24/12/2023;1198327
25/12/2023;1158071
26/12/2023;1275367
27/12/2023;1327874
28/12/2023;1315878
29/12/2023;1290724
30/12/2023;1224228
31/12/2023;1238675
01/01/2024;1237645
02/01/2024;1361332
03/01/2024;1379638
04/01/2024;1394084
05/01/2024;1426408
06/01/2024;1393469
